participant,task,technique,block,distance,repetition,trial,time,overshoot,success
0,Select,Baseline,1,15,1,0,2.96495497226715,189.92106628418,True
0,Select,Baseline,1,15,2,0,3.35464400053024,1178.38621520996,True
0,Select,Baseline,1,15,3,0,1.58870202302933,86.1675262451172,True
0,Select,Baseline,1,15,4,0,2.38681799173355,106.521301269531,True
0,Select,Baseline,1,15,5,0,1.83726102113724,289.032760620117,True
0,Select,Baseline,1,135,1,0,3.68432003259659,353.770309448242,True
0,Select,Baseline,1,135,2,0,4.38960498571396,323.161071777344,True
0,Select,Baseline,1,135,3,0,2.75859600305557,370.443252563477,True
0,Select,Baseline,1,135,4,0,7.6413140296936,956.554992675781,True
0,Select,Baseline,1,135,5,0,2.45647203922272,190.552734375,True
0,Select,Baseline,1,250,1,0,3.41619700193405,445.268463134766,True
0,Select,Baseline,1,250,2,0,3.11978095769882,562.411849975586,True
0,Select,Baseline,1,250,3,0,3.51289200782776,569.488906860352,True
0,Select,Baseline,1,250,4,0,4.25529301166534,710.654769897461,True
0,Select,Baseline,1,250,5,0,2.90597796440125,522.474731445312,True
0,Select,Baseline,2,15,1,0,4.87605404853821,850.70231628418,True
0,Select,Baseline,2,15,2,0,4.5704220533371,690.636215209961,True
0,Select,Baseline,2,15,3,0,2.08444398641586,196.120651245117,True
0,Select,Baseline,2,15,4,0,1.64612001180649,238.341613769531,True
0,Select,Baseline,2,15,5,0,1.77003198862076,337.759323120117,True
0,Select,Baseline,2,135,1,0,6.96757400035858,265.864059448242,True
0,Select,Baseline,2,135,2,0,4.08682596683502,750.879821777344,True
0,Select,Baseline,2,135,3,0,5.97691601514816,733.841690063477,True
0,Select,Baseline,2,135,4,0,3.35454499721527,670.867492675781,True
0,Select,Baseline,2,135,5,0,2.6017490029335,529.880859375,True
0,Select,Baseline,2,250,1,0,5.14790695905685,225.932525634766,True
0,Select,Baseline,2,250,2,0,3.28855103254318,574.962631225586,True
0,Select,Baseline,2,250,3,0,2.12912005186081,573.348281860352,False
0,Select,Baseline,2,250,3,1,3.79541701078415,579.012344360352,True
0,Select,Baseline,2,250,4,0,4.78595799207687,383.963363647461,True
0,Select,Baseline,2,250,5,0,3.17527800798416,223.502075195312,True
0,Select,Baseline,3,15,1,0,2.00542098283768,625.57731628418,True
0,Select,Baseline,3,15,2,0,1.73482501506805,757.608871459961,True
0,Select,Baseline,3,15,3,0,2.64641499519348,1271.11674499512,True
0,Select,Baseline,3,15,4,0,1.95249503850937,411.318176269531,True
0,Select,Baseline,3,15,5,0,1.83715903759003,534.595260620117,True
0,Select,Baseline,3,135,1,0,3.77339595556259,711.035934448242,True
0,Select,Baseline,3,135,2,0,3.276859998703,245.981384277344,True
0,Select,Baseline,3,135,3,0,3.83928799629211,982.869033813477,True
0,Select,Baseline,3,135,4,0,3.59138095378876,237.828430175781,True
0,Select,Baseline,3,135,5,0,2.1184229850769,268.107421875,True
0,Select,Baseline,3,250,1,0,3.63593804836273,811.022369384766,True
0,Select,Baseline,3,250,2,0,3.15369701385498,416.236068725586,True
0,Select,Baseline,3,250,3,0,3.32278603315353,285.262344360352,True
0,Select,Baseline,3,250,4,0,3.32140600681305,356.174301147461,True
0,Select,Baseline,3,250,5,0,3.65867805480957,470.150512695312,True
0,Select,ForceEdge,1,15,1,0,3.17578196525574,476.36637878418,True
0,Select,ForceEdge,1,15,2,0,2.5579149723053,92.1323089599609,True
0,Select,ForceEdge,1,15,3,0,2.60233598947525,137.886276245117,True
0,Select,ForceEdge,1,15,4,0,2.29920899868012,80.8259887695312,True
0,Select,ForceEdge,1,15,5,0,1.79276496171951,47.4936981201172,True
0,Select,ForceEdge,1,135,1,0,3.66093200445175,98.3171844482422,True
0,Select,ForceEdge,1,135,2,0,4.51484602689743,415.434509277344,True
0,Select,ForceEdge,1,135,3,0,2.86204797029495,75.9354400634766,True
0,Select,ForceEdge,1,135,4,0,2.4226770401001,329.398742675781,True
0,Select,ForceEdge,1,135,5,0,2.55755597352982,144.162109375,True
0,Select,ForceEdge,1,250,1,0,2.97465300559998,202.924713134766,True
0,Select,ForceEdge,1,250,2,0,4.89680796861649,602.048568725586,True
0,Select,ForceEdge,1,250,3,0,4.44791501760483,139.223281860352,True
0,Select,ForceEdge,1,250,4,0,3.00768703222275,183.619613647461,True
0,Select,ForceEdge,1,250,5,0,5.17871201038361,615.408325195312,True
0,Select,ForceEdge,2,15,1,0,7.15893703699112,1410.26481628418,True
0,Select,ForceEdge,2,15,2,0,1.98457700014114,121.921371459961,True
0,Select,ForceEdge,2,15,3,0,1.72540199756622,199.378463745117,True
0,Select,ForceEdge,2,15,4,0,1.91917300224304,169.333801269531,True
0,Select,ForceEdge,2,15,5,0,1.7368780374527,154.001510620117,True
0,Select,ForceEdge,2,135,1,0,3.23252099752426,12.5828094482422,True
0,Select,ForceEdge,2,135,2,0,4.60505598783493,201.543884277344,True
0,Select,ForceEdge,2,135,3,0,2.80690199136734,330.802627563477,True
0,Select,ForceEdge,2,135,4,0,4.23412799835205,288.750305175781,True
0,Select,ForceEdge,2,135,5,0,3.93031698465347,576.833984375,True
0,Select,ForceEdge,2,250,1,0,4.30143797397614,167.315338134766,True
0,Select,ForceEdge,2,250,2,0,2.90692698955536,266.173568725586,True
0,Select,ForceEdge,2,250,3,0,2.53604900836945,115.356094360352,True
0,Select,ForceEdge,2,250,4,0,3.15424305200577,275.580551147461,True
0,Select,ForceEdge,2,250,5,0,4.08790999650955,497.486450195312,True
0,Select,ForceEdge,3,15,1,0,1.98395800590515,153.84294128418,True
0,Select,ForceEdge,3,15,2,0,1.75872999429703,188.343246459961,True
0,Select,ForceEdge,3,15,3,0,1.76049500703812,113.862838745117,True
0,Select,ForceEdge,3,15,4,0,2.07452201843262,145.841613769531,True
0,Select,ForceEdge,3,15,5,0,1.77061700820923,85.2515106201172,True
0,Select,ForceEdge,3,135,1,0,4.48196202516556,516.199996948242,True
0,Select,ForceEdge,3,135,2,0,2.78290295600891,146.434509277344,True
0,Select,ForceEdge,3,135,3,0,2.28547501564026,261.654190063477,True
0,Select,ForceEdge,3,135,4,0,4.09922105073929,746.617492675781,True
0,Select,ForceEdge,3,135,5,0,2.81681501865387,306.138671875,True
0,Select,ForceEdge,3,250,1,0,4.31274098157883,476.440338134766,True
0,Select,ForceEdge,3,250,2,0,2.42239999771118,163.400131225586,True
0,Select,ForceEdge,3,250,3,0,3.42463904619217,420.660781860352,True
0,Select,ForceEdge,3,250,4,0,3.38995599746704,111.635238647461,True
0,Select,ForceEdge,3,250,5,0,3.24455600976944,83.8614501953125,True
0,Move,Baseline,1,15,1,0,6.05252504348755,153.8203125,True
0,Move,Baseline,1,15,2,0,2.81001698970795,106.59375,True
0,Move,Baseline,1,15,3,0,2.56311202049255,92.3359375,True
0,Move,Baseline,1,15,4,0,2.56247496604919,118.5625,True
0,Move,Baseline,1,15,5,0,2.51790899038315,137.984375,True
0,Move,Baseline,1,135,1,0,13.1940269470215,85.4375,True
0,Move,Baseline,1,135,2,0,12.2828699946404,166.46875,True
0,Move,Baseline,1,135,3,0,8.95284700393677,150.2734375,True
0,Move,Baseline,1,135,4,0,10.369392991066,118.5625,True
0,Move,Baseline,1,135,5,0,10.202830016613,165.234375,True
